Timestamp,RTT (ms)
1750245778,25.406
1750245779,18.489
1750245780,15.279
1750245781,17.552
1750245782,20.876
1750245783,18.876
1750245784,36.825
1750245785,29.325
1750245786,23.226
1750245787,29.92
1750245788,22.702
1750245789,25.002
1750245790,33.025
1750245791,22.749
1750245792,28.596
1750245793,21.022
1750245794,21.045
1750245795,21.799
1750245796,25.703
1750245797,30.13
1750245798,16.104
1750245799,25.67
1750245800,34.215
1750245801,17.895
1750245802,27.7
1750245803,20.74
1750245804,16.476
1750245805,35.834
1750245806,32.601
1750245807,18.47
1750245808,44.744
1750245809,55.922
1750245810,16.055
1750245811,42.214
1750245812,34.728
1750245813,20.926
1750245815,38.868
1750245819,51.335
1750245821,16.308
1750245822,31.813
1750245823,15.963
1750245825,38.258
1750245826,26.763
1750245827,29.239
1750245828,19.157
1750245829,30.161
1750245830,22.751
1750245832,40.403
1750245833,60
1750245835,60
1750245836,46.551
1750245838,17.875
1750245841,15.742
1750245846,16.069
1750245848,46.153
1750245851,46.713
1750245855,21.774
1750245860,32.899
1750245863,17.749
1750245866,89.829
1750245870,16.709
1750245872,17.442
1750245878,60
1750245879,60
1750245880,60
1750245881,60
1750245882,31.034
1750245885,44.397
1750245888,26.379
1750245890,15.373
1750245893,21.453
1750245899,19.193
1750245903,19.143
1750245908,20.615
1750245913,18.685
1750245919,18.121
1750245924,26.696
1750245929,18.051
1750245934,26.503
1750245936,51.094
1750245940,15.098
1750245944,31.033
1750245949,17.488
1750245951,29.214
1750245957,43.02
1750245965,25.161
1750245968,38.452
1750245971,15.234
1750245974,31.223
1750245977,60
1750245978,60
1750245979,87.398
1750245985,28.435
1750245987,37.562
1750245989,28.235
1750245990,100.096
1750245991,84.14
1750245992,68.067
1750245993,27.684
1750245994,45.458
1750245995,23.536
1750245996,31.35
1750245997,15.758
1750245998,26.28
1750245999,18.397
1750246000,39.397
1750246001,14.909
1750246002,25.433
1750246003,22.879
1750246004,26.772
1750246005,17.565
1750246006,23.956
1750246007,27.98
1750246008,22.42
1750246009,24.488
1750246010,14.968
1750246011,39.369
1750246012,21.179
1750246013,31.735
1750246014,25.604
1750246015,39.888
1750246016,16.789
1750246017,24.704
1750246018,16.155
1750246019,23.889
1750246020,31.973
1750246021,16.004
1750246022,28.154
1750246023,27.295
1750246024,24.927
1750246026,25.86
1750246028,20.32
1750246029,19.313
1750246030,60
1750246031,49.099
1750246036,29.461
1750246041,18.686
1750246044,18.035
1750246048,25.404
1750246054,17.539
1750246062,44.363
1750246065,18.785
1750246070,15.351
1750246072,17.631
1750246076,36.381
1750246080,58.448
1750246084,22.713
1750246086,14.895
1750246088,99.757
1750246091,60
1750246092,60
1750246096,16.314
1750246099,17.737
1750246105,17.925
1750246112,22.29
1750246118,28.293
1750246124,15.839
1750246125,21.541
1750246126,16.874
1750246127,16.701
1750246128,36.797
1750246129,17.646
1750246130,37.66
1750246131,18.138
1750246132,22.648
1750246133,27.422
1750246134,17.932
1750246135,15.614
1750246136,22.639
1750246137,25.821
1750246138,37.875
1750246139,25.98
1750246140,33.419
1750246141,119.209
1750246142,92.856
1750246143,61.627
1750246144,19.059
1750246145,20.315
1750246146,15.089
1750246147,44.673
1750246148,16.539
1750246149,17.577
1750246150,21.738
1750246151,18.658
1750246152,28.024
1750246153,17.071
1750246154,27.408
1750246155,16.079
1750246156,39.289
1750246157,25.221
1750246158,37.089
1750246159,17.933
1750246160,22.49
1750246161,16.141
1750246162,22.608
1750246163,20.682
1750246164,33.342
1750246165,29.74
1750246166,14.962
1750246167,24.068
1750246168,31.208
1750246169,29.418
1750246170,17.361
1750246171,16.747
1750246172,16.739
1750246173,15.871
1750246174,16.684
1750246175,33.765
1750246176,60.74
1750246177,28.256
1750246178,52.533
1750246179,36.618
1750246180,23.619
1750246182,32.666
1750246183,17.188
1750246184,131.846
1750246185,45.683
1750246186,20.026
1750246189,78.212
1750246191,25.26
1750246192,46.946
1750246193,119.475
1750246194,24.47
1750246195,34.483
1750246196,27.698
1750246197,49.417
1750246200,73.26
1750246201,25.3
1750246203,41.544
1750246205,45.819
1750246206,15.595
1750246209,34.646
1750246210,35.517
1750246211,29.51
1750246212,58.189
1750246213,16.574
1750246214,47.52
1750246215,25.384
1750246217,28.686
1750246218,24.633
1750246219,29.45
1750246220,41.305
1750246222,34.508
1750246223,16.567
1750246224,34.42
1750246225,18.066
1750246226,20.899
1750246228,16.002
1750246229,15.039
1750246230,26.492
1750246231,17.886
1750246233,35.063
1750246234,24.919
1750246235,16.815
1750246236,27.564
1750246237,15.653
1750246239,18.023
1750246240,19.404
1750246241,18.433
1750246242,32.419
1750246245,71.753
1750246247,17.696
1750246249,16.619
1750246250,70.732
1750246251,17.302
1750246252,31.584
1750246253,20.353
1750246254,55.424
1750246257,18.991
1750246258,34.248
1750246259,24.933
1750246260,46.075
1750246261,54.866
1750246262,16.243
1750246263,54.372
1750246264,17.165
1750246265,25.444
1750246266,16.049
1750246267,38.817
1750246268,16.529
1750246269,16.585
1750246270,23.881
1750246271,16.978
1750246272,21.53
1750246273,15.861
1750246274,23.147
1750246275,22.484
1750246276,37.188
1750246277,31.716
1750246278,32.42
1750246279,42.239
1750246280,17.071
1750246281,36.624
1750246282,23.649
1750246283,43.019
1750246284,20.633
1750246285,28.001
1750246286,35.441
1750246287,38.179
1750246288,33.847
1750246289,28.055
1750246290,30.976
1750246291,28.576
1750246292,19.655
1750246293,47.132
1750246294,36.04
1750246295,22.649
1750246296,28.338
1750246297,31.393
1750246298,37.87
1750246299,17.35
1750246300,32.544
1750246301,36.864
1750246302,22.098
1750246303,29.889
1750246304,24.913
1750246305,45.323
1750246306,18.941
1750246307,62.067
1750246308,30.998
1750246309,22.601
1750246310,14.877
1750246311,24.915
1750246312,25.647
1750246313,25.422
1750246314,35.375
1750246315,18.835
1750246316,26.064
1750246317,26.273
1750246318,20.5
1750246319,16.446
1750246320,25.938
1750246321,35.499
1750246323,26.775
1750246324,17.299
1750246325,17.638
1750246326,16.789
1750246327,17.824
1750246328,39.264
1750246329,20.528
1750246330,24.584
1750246331,25.066
1750246332,16.736
1750246333,17.074
1750246334,19.163
1750246335,35.448
1750246336,24.512
1750246337,52.85
1750246338,22.895
1750246339,33.859
1750246340,47.381
1750246341,20.768
1750246342,16.098
1750246343,25.868
1750246344,24.544
1750246345,38.018
1750246346,18.525
1750246347,17.919
1750246348,18.078
1750246349,18.06
1750246350,24.615
1750246351,50.952
1750246352,86.22
1750246353,22.482
1750246354,30.253
1750246355,26.91
1750246356,36.967
1750246357,15.335
1750246358,53.618
1750246359,21.554
1750246360,27.582
1750246361,18.917
1750246362,50.947
1750246363,27.592
1750246364,19.353
1750246365,21.961
1750246366,61.361
1750246367,39.385
1750246368,17.785
1750246369,49.937
1750246370,20.032
1750246371,15.662
1750246372,29.983
1750246373,33.522
1750246374,17.054
1750246375,16.76
1750246376,15.736
1750246377,19.532
1750246378,21.449
1750246379,36.943
1750246380,20.964
1750246381,17.886
1750246382,57.806
1750246383,57.848
1750246384,40.347
1750246385,25.223
1750246386,26.613
1750246387,23.824
1750246388,37.958
1750246389,18.622
1750246390,30.841
1750246391,31.851
1750246392,36.802
1750246393,14.898
1750246394,29.11
1750246395,26
1750246396,22.604
1750246397,36.759
1750246398,23.07
1750246399,29.613
1750246400,18.778
1750246401,17.033
1750246402,19.403
1750246403,71.458
1750246404,22.434
1750246405,39.677
1750246406,22.728
1750246407,15.758
1750246408,15.687
1750246409,17.804
1750246410,22.996
1750246411,107.954
1750246413,15.026
1750246414,51.123
1750246415,15.206
1750246417,14.636
1750246418,20.282
1750246419,25.652
1750246420,19.148
1750246421,40.282
1750246422,40.674
1750246423,75.564
1750246424,22.372
1750246426,84.833
1750246427,59.605
1750246428,96.385
1750246429,118.606
1750246430,46.391
1750246431,67.097
1750246432,39.123
1750246434,42.666
1750246436,31.408
1750246437,172.43
1750246438,104.763
1750246439,48.47
1750246440,53.175
1750246442,48.035
